word,url,width,height
spectre,http://media3.giphy.com/media/13n5Uvy1Hxo8Uw/200_d.gif,250,170
is,http://media0.giphy.com/media/XJB8C8UHXFSBG/200_d.gif,400,225
haunting,http://media1.giphy.com/media/uhQi7doyodXMs/200_d.gif,500,281
europe,http://media0.giphy.com/media/w3K0P8bDYFV7i/200_d.gif,240,180
communism,http://media0.giphy.com/media/dwLw9DlqI2p1K/200_d.gif,1024,768
all,http://media0.giphy.com/media/1P9TkfMLAXuuY/200_d.gif,289,300
powers,http://media0.giphy.com/media/NoahyHcaylyjC/200_d.gif,310,165
old,http://media0.giphy.com/media/lzd8xQLG9ks8M/200_d.gif,324,200
have,http://media0.giphy.com/media/IaUmOiaquwjU4/200_d.gif,310,275
entered,http://media0.giphy.com/media/11m1Ny28gk7Y8o/200_d.gif,300,280
into,http://media0.giphy.com/media/14oWGhudXABkUE/200_d.gif,320,180
holy,http://media0.giphy.com/media/dfGL1IJvAip2g/200_d.gif,512,288
alliance,http://media2.giphy.com/media/IlXNjKZuZcxeE/200_d.gif,500,260
to,http://media0.giphy.com/media/yegGQEaRjq46Y/200_d.gif,501,351
exorcise,http://media0.giphy.com/media/gI0TDpCRPcz16/200_d.gif,245,245
this,http://media0.giphy.com/media/FGZrnyHBzAExO/200_d.gif,245,245
pope,http://media0.giphy.com/media/PyNxbkVck3NGE/200_d.gif,450,322
tsar,http://media0.giphy.com/media/7IFffVcd01oIw/200_d.gif,320,240
metternich,none,,
guizot,none,,
french,http://media0.giphy.com/media/neN3U6d9p7C80/200_d.gif,810,344
radicals,http://media0.giphy.com/media/AHu7dOP93gSwo/200_d.gif,350,200
german,http://media0.giphy.com/media/J75VxKT6dqzLi/200_d.gif,320,180
police-spies,none,,
where,http://media0.giphy.com/media/Ax5JC0DIz0mtO/200_d.gif,245,138
party,http://media2.giphy.com/media/fJSH43HV8CPQI/200_d.gif,400,319
in,http://media0.giphy.com/media/uOnskxcEiRV0A/200_d.gif,600,338
opposition,http://media0.giphy.com/media/GTWdcRWbRfnWw/200_d.gif,420,237
